   5.4823171e-02  -5.4514436e-01   7.9885116e-02   4.7165335e-02  -6.3083065e-01   6.7195328e-02
   1.3553711e-01  -3.9381330e-01   7.0278529e-02   1.2068239e-01  -3.5611380e-01   5.2919997e-02
   2.1625105e-01  -7.2761344e-01   9.2952797e-02   1.9419945e-01  -7.0169931e-01   7.1392985e-02
   2.9696499e-01  -1.1866616e+00   1.3375406e-01   2.6771650e-01  -1.1135492e+00   1.0056153e-01
   3.7767893e-01  -1.5593848e+00   1.7559050e-01   3.4123356e-01  -1.5117454e+00   1.3742158e-01
   4.5839287e-01  -1.9012511e+00   2.1970395e-01   4.1475062e-01  -1.9381414e+00   1.8668239e-01
   5.3910681e-01  -2.1292601e+00   2.5047280e-01   4.8826767e-01  -2.4186958e+00   2.5047280e-01
   6.1982075e-01  -2.2084414e+00   2.6099514e-01   5.6178473e-01  -2.7197258e+00   2.8853190e-01
   7.0053469e-01  -2.6385660e+00   3.0895230e-01   6.3530179e-01  -3.0877026e+00   3.1808084e-01
   7.8124863e-01  -2.7982669e+00   3.1808084e-01   7.0881884e-01  -3.4398851e+00   3.0103000e-01
   8.6196257e-01  -3.0535394e+00   3.1258889e-01   7.8233590e-01  -3.4398851e+00   3.0103000e-01
   9.4267651e-01  -3.4514794e+00   2.1286035e-01   8.5585296e-01  -3.5648238e+00   2.7546608e-01
