# radius (data) [pc],data [Msun/pc^2],error [Msun/pc^2],data - error [Msun/pc^2],data + error [Msun/pc^2]
1.884998741970739999e+01,5.740668229000000338e+02,3.058244680954514294e+01,5.434843760904549299e+02,6.046492697095451376e+02
4.444529426690729679e+01,4.162577513448892432e+02,2.272377479662319999e+01,3.935339765482660255e+02,4.389815261415124610e+02
6.224582726072926420e+01,3.129338671805395506e+02,1.712836489202903323e+01,2.958055022885105245e+02,3.300622320725685768e+02
8.088011690482318272e+01,2.155804973918745588e+02,1.160276498052052041e+01,2.039777324113540260e+02,2.271832623723950917e+02
1.042302424097725577e+02,1.259221086963577108e+02,6.763703731723919255e+00,1.191584049646337888e+02,1.326858124280816185e+02
1.353322586321294523e+02,6.439695290347617629e+01,3.679645657076349163e+00,6.071730724639982668e+01,6.807659856055252590e+01
1.847379672824513932e+02,2.294587048090961545e+01,1.406478649552112881e+00,2.153939183135750213e+01,2.435234913046172878e+01
2.626849580573001504e+02,7.668562271246841533e+00,5.643685622539913460e-01,7.104193708992850631e+00,8.232930833500832435e+00
3.826244430250917503e+02,2.168294406598057833e+00,1.982390110696494456e-01,1.970055395528408360e+00,2.366533417667707084e+00
6.024018775977839368e+02,3.689689718044472100e-01,4.601519276196103236e-02,3.229537790424861776e-01,4.149841645664082423e-01
