# radius (data) [pc],data [Msun/pc^2],error [Msun/pc^2],data - error [Msun/pc^2],data + error [Msun/pc^2]
2.770712062030000200e-01,3.481833462842225391e+00,1.631251422392137607e-01,3.318708320603011686e+00,3.644958605081439096e+00
6.819784319599999645e-01,2.413774179672088405e+00,1.159872004848386401e-01,2.297786979187249834e+00,2.529761380156926975e+00
1.034978185289999963e+00,1.198196055618512723e+00,5.537746261013440363e-02,1.142818593008378292e+00,1.253573518228647155e+00
1.462755660250000034e+00,7.619515373218764820e-01,3.611590920061881482e-02,7.258356281212576810e-01,7.980674465224952829e-01
2.447188949280000081e+00,1.348367950592193054e-01,6.303917180139945522e-03,1.285328778790793547e-01,1.411407122393592561e-01
