  -1.9446149e-01  -2.7706679e+00   3.1929053e-01  -3.4650480e-01  -2.8956067e+00   3.1767892e-01
  -1.1111848e-01  -2.3120301e+00   2.8393988e-01  -2.5341047e-01  -2.4696380e+00   3.0103000e-01
  -2.7775461e-02  -1.1500115e+00   1.3809326e-01  -1.6031614e-01  -1.5873981e+00   1.8889014e-01
   5.5567556e-02  -1.4471277e-01   6.0692445e-02  -6.7221812e-02  -8.4574287e-01   1.0901197e-01
   1.3891057e-01  -7.6420191e-01   1.0210540e-01   2.5872518e-02  -2.9372769e-01   6.9008957e-02
   2.2225359e-01  -1.6018759e+00   1.9073220e-01   1.1896685e-01  -7.9351616e-01   1.0454615e-01
   3.0559661e-01  -2.2587846e+00   2.7749910e-01   2.1206118e-01  -1.2935467e+00   1.5364197e-01
   3.8893962e-01  -2.8956067e+00   3.1767892e-01   3.0515551e-01  -1.6168531e+00   1.9264679e-01
   4.7228264e-01  -3.6737579e+00   0.0000000e+00   3.9824984e-01  -1.7006301e+00   2.0351260e-01
   5.5562566e-01            -Inf            -Inf   4.9134417e-01  -1.7761308e+00   2.1349973e-01
   6.3896867e-01            -Inf            -Inf   5.8443850e-01  -1.7052750e+00   2.0412217e-01
   7.2231169e-01            -Inf            -Inf   6.7753283e-01  -1.9255699e+00   2.3361145e-01
   8.0565471e-01  -3.6737579e+00   0.0000000e+00   7.7062716e-01  -2.2265999e+00   2.7348716e-01
   8.8899773e-01            -Inf            -Inf   8.6372149e-01  -2.4184854e+00   2.9587057e-01
   9.7234074e-01            -Inf            -Inf   9.5681582e-01  -2.7706679e+00   3.1929053e-01
   1.0556838e+00  -3.6737579e+00   0.0000000e+00   1.0499102e+00  -2.9747879e+00   3.1258889e-01
   1.1390268e+00  -3.0716979e+00   3.0103000e-01   1.1430045e+00  -3.0716979e+00   3.0103000e-01
   1.2223698e+00  -3.6737579e+00   0.0000000e+00   1.2360988e+00  -3.3727279e+00   2.1286035e-01
   1.3057128e+00  -3.6737579e+00   0.0000000e+00   1.3291931e+00  -3.6737579e+00   0.0000000e+00
   1.3890558e+00  -3.6737579e+00   0.0000000e+00   1.4222875e+00  -3.6737579e+00   0.0000000e+00
