# radius (data) [pc],data [km/s],error [km/s],data - error [km/s],data + error [km/s]
2.308724602449999941e-01,8.392358859452240694e+00,6.851761358340431318e-01,7.707182723618197784e+00,9.077534995286283603e+00
5.398379665329999799e-01,8.726516412014088786e+00,6.566117881252893085e-01,8.069904623888799478e+00,9.383128200139378094e+00
7.677674865369999990e-01,9.492890445256184861e+00,7.215017530484033603e-01,8.771388692207780835e+00,1.021439219830458889e+01
9.974005861520000016e-01,9.028584504848762293e+00,6.936246390857415678e-01,8.334959865763019948e+00,9.722209143934504638e+00
1.303447964020000072e+00,9.624013605783568792e+00,7.160894876880938842e-01,8.907924118095474242e+00,1.034010309347166334e+01
1.789637877389999909e+00,8.919658958832387796e+00,6.814262637292560765e-01,8.238232695103132386e+00,9.601085222561643207e+00
3.517448869679999923e+00,9.846549944219999517e+00,7.354830662747400272e-01,9.111066877945258824e+00,1.058203301049474021e+01
