# radius (data) [pc],data [km/s],error [km/s],data - error [km/s],data + error [km/s]
2.308724602449999941e-01,9.458746863009999117e+00,1.978315209508823447e+00,7.480431653501176115e+00,1.143706207251882212e+01
5.398379665329999799e-01,7.070754822216410496e+00,2.115627442816458537e+00,4.955127379399952403e+00,9.186382265032868588e+00
7.677674865369999990e-01,5.848100053588948910e+00,1.484700669200905931e+00,4.363399384388042535e+00,7.332800722789855286e+00
9.974005861520000016e-01,6.582085849509270226e+00,1.993199215192077212e+00,4.588886634317193014e+00,8.575285064701347437e+00
1.303447964020000072e+00,7.605474995722046216e+00,2.258000806702450625e+00,5.347474189019595592e+00,9.863475802424495953e+00
1.789637877389999909e+00,7.137223064547421281e+00,2.047160007145222504e+00,5.090063057402199220e+00,9.184383071692643341e+00
3.517448869679999923e+00,7.595680437078458525e+00,2.709289487956036524e+00,4.886390949122422001e+00,1.030496992503449505e+01
