# radius (data) [pc],data [km/s],error [km/s],data - error [km/s],data + error [km/s]
2.757725872676727974e+01,9.735463202360000068e+00,3.710559014111753928e-01,9.364407300948824897e+00,1.010651910377117524e+01
7.090613803481517152e+01,9.208403689827550309e+00,3.559190455622136540e-01,8.852484644265336655e+00,9.564322735389763963e+00
1.184246978551085476e+02,8.207115575913068284e+00,3.232726631983822152e-01,7.883842912714685625e+00,8.530388239111450943e+00
2.224903657219941806e+02,7.892012553765206384e+00,3.669830320704468019e-01,7.525029521694759360e+00,8.258995585835652520e+00
5.178350030209169290e+02,7.833120230420187902e+00,5.624867464093167291e-01,7.270633484010871506e+00,8.395606976829505186e+00
