0.050000001 0.88249694 0.025866445 22.593779 0.66223538
0.10000000 0.79151787 0.024496863 25.660046 0.79415846
0.15000001 0.72100909 0.023380323 24.491230 0.79418254
0.20000000 0.65656559 0.022311008 24.804567 0.84289354
0.25000000 0.52464594 0.019944046 25.603951 0.97331613
0.30000001 0.47915641 0.019059819 26.269812 1.0449570
0.34999999 0.41319659 0.017699396 26.478558 1.1342168
0.40000001 0.37604680 0.016885000 27.633116 1.2407635
0.45000002 0.31463593 0.015444870 26.558290 1.3036952
0.50000000 0.27748615 0.014504433 28.616776 1.4958228
0.55000001 0.22593135 0.013087851 26.749012 1.5495287
0.60000002 0.21607528 0.012799195 30.133518 1.7849556
0.65000004 0.19712131 0.012224945 29.488529 1.8288009
0.69999999 0.18802340 0.011939498 27.181099 1.7260015
0.75000000 0.17361838 0.011473026 29.388371 1.9420382
0.80000001 0.12964517 0.0099142142 31.838013 2.4347138
0.85000002 0.11827279 0.0094694013 29.576305 2.3679996
0.90000004 0.10538408 0.0089385608 29.528913 2.5046096
0.94999999 0.081881159 0.0078790186 35.022739 3.3700647
1.0000000 0.086430112 0.0080949217 27.868853 2.6101573
1.0500001 0.075057729 0.0075435860 28.546246 2.8690057
1.1000000 0.075057729 0.0075435860 26.376711 2.6509593
1.1500000 0.056103757 0.0065219294 33.363056 3.8783765
