# radius (data) [pc],data [km/s],error [km/s],data - error [km/s],data + error [km/s]
2.256394649279303266e+01,9.944202467269995793e+00,5.263877946118443729e-01,9.417814672658151309e+00,1.047059026188184028e+01
5.337613043897662379e+01,1.001767491188602754e+01,5.413654597554331538e-01,9.476309452130594835e+00,1.055904037164146025e+01
7.470466475518688299e+01,9.959463925692368491e+00,5.417995672708887378e-01,9.417664358421479420e+00,1.050126349296325756e+01
9.914468501960577385e+01,9.917906671847816824e+00,4.978407132914267619e-01,9.420065958556390839e+00,1.041574738513924281e+01
1.292816780189140502e+02,9.980370095953267295e+00,5.289362709988312261e-01,9.451433824954435181e+00,1.050930636695209941e+01
1.710951681149589376e+02,1.075673516856656065e+01,5.507699104846216498e-01,1.020596525808193888e+01,1.130750507905118241e+01
2.350046816186589638e+02,1.133573227190279731e+01,5.933962488574635596e-01,1.074233602304533441e+01,1.192912852076026020e+01
3.300110229763188840e+02,1.290949567270000031e+01,6.667368396697583854e-01,1.224275883303024237e+01,1.357623251236975825e+01
4.697956793235183000e+02,1.223647061686057036e+01,6.338013665418390508e-01,1.160266925031873164e+01,1.287027198340240908e+01
7.026156533546377432e+02,1.105826050020412410e+01,5.826313689530179252e-01,1.047562913125110562e+01,1.164089186915714258e+01
