# radius (data) [pc],data [km/s],error [km/s],data - error [km/s],data + error [km/s]
2.391545030510000003e-01,7.734543981643070332e+00,7.728556669412492974e-01,6.961688314701820701e+00,8.507399648584319962e+00
5.773800756100000431e-01,7.209511779300854073e+00,7.127831521993773789e-01,6.496728627101476583e+00,7.922294931500231563e+00
7.873562375710000394e-01,7.363637250872827167e+00,7.363637250872827611e-01,6.627273525785544628e+00,8.100000975960110594e+00
9.902880916890000051e-01,7.954545321550000381e+00,7.807772382327823335e-01,7.173768083317217936e+00,8.735322559782781937e+00
1.220664255710000035e+00,7.234759729586676791e+00,7.179687355505183222e-01,6.516790994036158580e+00,7.952728465137195002e+00
1.592103896150000031e+00,7.446814377479880065e+00,7.096872582157981446e-01,6.737127119264082253e+00,8.156501635695677876e+00
3.040886065280000050e+00,7.048418964826051791e+00,7.045073349380851502e-01,6.343911629887966974e+00,7.752926299764136608e+00
