  -9.2133097e-01   3.8525963e-02   8.0332186e-03
  -7.6764683e-01   3.5175879e-02   7.6760062e-03
  -6.1396269e-01   4.1876047e-02   8.3752094e-03
  -4.6027855e-01   3.6850921e-02   7.8566428e-03
  -3.0659441e-01   3.8525963e-02   8.0332186e-03
  -1.5291028e-01   5.1926298e-02   9.3262385e-03
   7.7386140e-04   5.6951424e-02   9.7670886e-03
   1.5445800e-01   8.5427136e-02   1.1962192e-02
   3.0814214e-01   8.0402010e-02   1.1605031e-02
   4.6182627e-01   7.8726968e-02   1.1483509e-02
   6.1551041e-01   1.0385260e-01   1.3189293e-02
   7.6919455e-01   1.2730318e-01   1.4602677e-02
   9.2287869e-01   2.2445561e-01   1.9390012e-02
