# radius (data) [pc],data [Msun/pc^2],error [Msun/pc^2],data - error [Msun/pc^2],data + error [Msun/pc^2]
2.391545030510000003e-01,1.430589918097900037e+00,1.429482498119596934e-01,1.287641668285940399e+00,1.573538167909859675e+00
5.773800756100000431e-01,1.202445696487997706e+00,1.188822572358860519e-01,1.083563439252111626e+00,1.321327953723883786e+00
7.873562375710000394e-01,1.020622963429601127e+00,1.020622963429601016e-01,9.185606670866410806e-01,1.122685259772561173e+00
9.902880916890000051e-01,7.588703890524384210e-01,7.448681258184065845e-02,6.843835764705977764e-01,8.333572016342790656e-01
1.220664255710000035e+00,5.135869093168421440e-01,5.096773875839633039e-02,4.626191705584458136e-01,5.645546480752384744e-01
1.592103896150000031e+00,2.198178717782683922e-01,2.094881580521124748e-02,1.988690559730571517e-01,2.407666875834796327e-01
3.040886065280000050e+00,2.098176684150708168e-02,2.097180759768500422e-03,1.888458608173858300e-02,2.307894760127558037e-02
