# radius (data) [pc],data [km/s],error [km/s],data - error [km/s],data + error [km/s]
1.884998741970739999e+01,9.766182642480000453e+00,5.202769943874204772e-01,9.245905648092579199e+00,1.028645963686742171e+01
4.444529426690729679e+01,9.695484613677775698e+00,5.292826576643250291e-01,9.166201956013450669e+00,1.022476727134210073e+01
6.224582726072926420e+01,9.500174990174164336e+00,5.199899430379966159e-01,8.980185047136167498e+00,1.002016493321216117e+01
8.088011690482318272e+01,8.882245440424519245e+00,4.780516215119833823e-01,8.404193818912535363e+00,9.360297061936503127e+00
1.042302424097725577e+02,8.412721263887400269e+00,4.518758047810257361e-01,7.960845459106374200e+00,8.864597068668425450e+00
1.353322586321294523e+02,7.893141290926389608e+00,4.510145552282772141e-01,7.442126735698112228e+00,8.344155846154666989e+00
1.847379672824513932e+02,7.802885134518584564e+00,4.782817612309319677e-01,7.324603373287652985e+00,8.281166895749516144e+00
2.626849580573001504e+02,8.015016213486726215e+00,5.898658727485234232e-01,7.425150340738202459e+00,8.604882086235249972e+00
3.826244430250917503e+02,7.731998155474303580e+00,7.069075413704111188e-01,7.025090614103892683e+00,8.438905696844715365e+00
6.024018775977839368e+02,7.748891840190028191e+00,9.663868210218746757e-01,6.782505019168153737e+00,8.715278661211902644e+00
