# radius (data) [pc],data [Msun/pc^2],error [Msun/pc^2],data - error [Msun/pc^2],data + error [Msun/pc^2]
2.757725872676727974e+01,2.948929598009999986e-01,5.966877450202725391e-02,2.352241852989727378e-01,3.545617343030272317e-01
7.090613803481517152e+01,3.175697557375673497e-01,4.550429195542313870e-02,2.720654637821441901e-01,3.630740476929905092e-01
1.184246978551085476e+02,2.784274180970228163e-01,2.591059685925735379e-02,2.525168212377654764e-01,3.043380149562801562e-01
2.224903657219941806e+02,1.554335424152962220e-01,8.856144871635459812e-03,1.465773975436607535e-01,1.642896872869316904e-01
5.178350030209169290e+02,4.077513564002496760e-02,1.729951144670994773e-03,3.904518449535396979e-02,4.250508678469596541e-02
