# radius (data) [pc],data [Msun/pc^2],error [Msun/pc^2],data - error [Msun/pc^2],data + error [Msun/pc^2]
2.308724602449999941e-01,1.278377150638271287e-01,2.673750547746404915e-02,1.011002095863630795e-01,1.545752205412911917e-01
5.398379665329999799e-01,4.278396174524608936e-02,1.280130988224438895e-02,2.998265186300170040e-02,5.558527162749048178e-02
7.677674865369999990e-01,4.476532485329411115e-02,1.136490606481384454e-02,3.340041878848026835e-02,5.613023091810795395e-02
9.974005861520000016e-01,2.238555776562098712e-02,6.778835340388048025e-03,1.560672242523293909e-02,2.916439310600903514e-02
1.303447964020000072e+00,1.160310349208870835e-02,3.444862689061114949e-03,8.158240803027592969e-03,1.504796618114982373e-02
1.789637877389999909e+00,5.482298917900379868e-03,1.572480359720308677e-03,3.909818558180071409e-03,7.054779277620688328e-03
3.517448869679999923e+00,3.815650049655593731e-04,1.360997300362415949e-04,2.454652749293177510e-04,5.176647350018009951e-04
