# radius (data) [pc],data [Msun/pc^2],error [Msun/pc^2],data - error [Msun/pc^2],data + error [Msun/pc^2]
1.298073566872912181e+02,1.396582546740000019e+01,5.832297374971840975e-01,1.338259572990281576e+01,1.454905520489718462e+01
3.487821513084406320e+02,5.347787657179638998e+00,2.477367957122177666e-01,5.100050861467421370e+00,5.595524452891856626e+00
5.784974446020735286e+02,1.838597462749950395e+00,9.599231723803644534e-02,1.742605145511914033e+00,1.934589779987986757e+00
9.418676359372061597e+02,4.162728771434973662e-01,2.722890495023858395e-02,3.890439721932587580e-01,4.435017820937359745e-01
2.093823548071631649e+03,3.180244589089917945e-02,2.525594969219069515e-03,2.927685092168011080e-02,3.432804086011825156e-02
