# radius (data) [pc],data [km/s],error [km/s],data - error [km/s],data + error [km/s]
1.298073566872912181e+02,1.524481192032373400e+01,6.366417563531272528e-01,1.460817016397060719e+01,1.588145367667686081e+01
3.487821513084406320e+02,1.761515849564249336e+01,8.160239712995831507e-01,1.679913452434291088e+01,1.843118246694207585e+01
5.784974446020735286e+02,1.767775982079999864e+01,9.229476071614410859e-01,1.675481221363855866e+01,1.860070742796143861e+01
9.418676359372061597e+02,1.688175237270991502e+01,1.104255540026257032e+00,1.577749683268365821e+01,1.798600791273617361e+01
2.093823548071631649e+03,1.588759561788602781e+01,1.261715268794485256e+00,1.462588034909154189e+01,1.714931088668051373e+01
