# radius (data) [pc],data [Msun/pc^2],error [Msun/pc^2],data - error [Msun/pc^2],data + error [Msun/pc^2]
1.298073566872912181e+02,7.413692524400000039e+00,3.169692188502553076e-01,7.096723305549744509e+00,7.730661743250255569e+00
3.487821513084406320e+02,4.300814610099556567e+00,1.657189794320508280e-01,4.135095630667505517e+00,4.466533589531607618e+00
5.784974446020735286e+02,2.334378575884811902e+00,8.068118009876554253e-02,2.253697395786046442e+00,2.415059755983577361e+00
9.418676359372061597e+02,9.412221902213527835e-01,3.054081676942817930e-02,9.106813734519245696e-01,9.717630069907809975e-01
2.093823548071631649e+03,1.144469629201005922e-01,3.573789996835363778e-03,1.108731729232652341e-01,1.180207529169359504e-01
