# radius (data) [pc],data [km/s],error [km/s],data - error [km/s],data + error [km/s]
1.298073566872912181e+02,2.152569771279441824e+01,9.203218998869417966e-01,2.060537581290747511e+01,2.244601961268136137e+01
3.487821513084406320e+02,2.390093723681416904e+01,9.209508629029464766e-01,2.297998637391122401e+01,2.482188809971711407e+01
5.784974446020735286e+02,2.411521696690000027e+01,8.334741345428692272e-01,2.328174283235713204e+01,2.494869110144286850e+01
9.418676359372061597e+02,2.265714867589826298e+01,7.351801024408733953e-01,2.192196857345738792e+01,2.339232877833913804e+01
2.093823548071631649e+03,2.097572176067613015e+01,6.550005582697356887e-01,2.032072120240639279e+01,2.163072231894586750e+01
