# radius (data) [pc],data [Msun/pc^2],error [Msun/pc^2],data - error [Msun/pc^2],data + error [Msun/pc^2]
2.757725872676727974e+01,4.858800052170000185e+02,1.851875350622826844e+01,4.673612517107717395e+02,5.043987587232282976e+02
7.090613803481517152e+01,2.551505295492391667e+02,9.861962617049545798e+00,2.452885669321896103e+02,2.650124921662887232e+02
1.184246978551085476e+02,9.085537254611355706e+01,3.578730916747287605e+00,8.727664162936626724e+01,9.443410346286084689e+01
2.224903657219941806e+02,1.364246624396650276e+01,6.343823698962001156e-01,1.300808387407030331e+01,1.427684861386270221e+01
5.178350030209169290e+02,8.321122250067479742e-01,5.975295722849002789e-02,7.723592677782579186e-01,8.918651822352380298e-01
