# radius (data) [pc],data [km/s],error [km/s],data - error [km/s],data + error [km/s]
2.757725872676727974e+01,1.476254455993492698e+01,2.987059925129771365e+00,1.177548463480515650e+01,1.774960448506469746e+01
7.090613803481517152e+01,1.852889764349999879e+01,2.654989503091850445e+00,1.587390814040814746e+01,2.118388714659185013e+01
1.184246978551085476e+02,1.766235738546412293e+01,1.643667943792239239e+00,1.601868944167188502e+01,1.930602532925636083e+01
2.224903657219941806e+02,1.560702607831450983e+01,8.892423206570334582e-01,1.471778375765747704e+01,1.649626839897154440e+01
5.178350030209169290e+02,1.312908500668095080e+01,5.570226874612445034e-01,1.257206231921970563e+01,1.368610769414219597e+01
