# radius (data) [pc],data [km/s],error [km/s],data - error [km/s],data + error [km/s]
2.770712062030000200e-01,1.103120471439999939e+01,5.168158837310785625e-01,1.051438883066892060e+01,1.154802059813107817e+01
6.819784319599999645e-01,1.070369857850951689e+01,5.143364459733023031e-01,1.018936213253621403e+01,1.121803502448281975e+01
1.034978185289999963e+00,1.054122676465582664e+01,4.871877087952013463e-01,1.005403905586062585e+01,1.102841447345102743e+01
1.462755660250000034e+00,1.058625857861878750e+01,5.017804084278061350e-01,1.008447817019098203e+01,1.108803898704659296e+01
2.447188949280000081e+00,9.399264516581858686e+00,4.394363203366429826e-01,8.959828196245215537e+00,9.838700836918501835e+00
