# radius (data) [pc],data [km/s],error [km/s],data - error [km/s],data + error [km/s]
8.061679181483404477e+01,1.857468924714184766e+01,1.178200062324520792e+00,1.739648918481732665e+01,1.975288930946636867e+01
2.029176894526920591e+02,2.314573470057251114e+01,1.343685283704293187e+00,2.180204941686821840e+01,2.448941998427680389e+01
3.008070363557841347e+02,2.378026772630567365e+01,1.308703784027292816e+00,2.247156394227837950e+01,2.508897151033296780e+01
3.973829244669942682e+02,2.354085754602127167e+01,1.275136148369754308e+00,2.226572139765151803e+01,2.481599369439102531e+01
5.088440072127580152e+02,2.391239505681584632e+01,1.178322273578053636e+00,2.273407278323779224e+01,2.509071733039390040e+01
6.425482297509774980e+02,2.456691700089999841e+01,1.194505559186307631e+00,2.337241144171369100e+01,2.576142256008630582e+01
8.129354313375442871e+02,2.403812736783049431e+01,1.127786453405665856e+00,2.291034091442482890e+01,2.516591382123615972e+01
1.046273218038046934e+03,2.103561488046050343e+01,9.410566032101547185e-01,2.009455827725034993e+01,2.197667148367065693e+01
1.400129502394598603e+03,2.128339390125175612e+01,9.393095137102880354e-01,2.034408438754146786e+01,2.222270341496204438e+01
2.325949968589515720e+03,2.120032939298884855e+01,9.375171737795408022e-01,2.026281221920930875e+01,2.213784656676838836e+01
