# radius (data) [pc],data [Msun/pc^2],error [Msun/pc^2],data - error [Msun/pc^2],data + error [Msun/pc^2]
8.061679181483404477e+01,1.920429196070000089e+01,1.123692261180117002e+00,1.808059969951988322e+01,2.032798422188011855e+01
2.029176894526920591e+02,1.091133123599096777e+01,6.501870006554016923e-01,1.026114423533556597e+01,1.156151823664636957e+01
3.008070363557841347e+02,6.799369489249351695e+00,4.251848708136795607e-01,6.374184618435672078e+00,7.224554360063031311e+00
3.973829244669942682e+02,4.255971416341854940e+00,2.930938802730627679e-01,3.962877536068792228e+00,4.549065296614918097e+00
5.088440072127580152e+02,2.483551223521816009e+00,1.735688445291996285e-01,2.309982378992616603e+00,2.657120068051015416e+00
6.425482297509774980e+02,1.376719515320808274e+00,1.079688692730001454e-01,1.268750646047808184e+00,1.484688384593808363e+00
8.129354313375442871e+02,6.587117439280257836e-01,5.622626431182222578e-02,6.024854796162035786e-01,7.149380082398479885e-01
1.046273218038046934e+03,2.668701192552028201e-01,2.717370358311384584e-02,2.396964156720889638e-01,2.940438228383166486e-01
1.400129502394598603e+03,1.031912949824775744e-01,1.137754888051669376e-02,9.181374610196088581e-02,1.145688438629942629e-01
2.325949968589515720e+03,1.755689682902289439e-02,2.036138288367812105e-03,1.552075854065508229e-02,1.959303511739070650e-02
