# radius (data) [pc],data [Msun/pc^2],error [Msun/pc^2],data - error [Msun/pc^2],data + error [Msun/pc^2]
2.308724602449999941e-01,6.958276748620733088e+00,5.680935782813441026e-01,6.390183170339389207e+00,7.526370326902076968e+00
5.398379665329999799e-01,5.611094485763464590e+00,4.221971987082219768e-01,5.188897287055242558e+00,6.033291684471686622e+00
7.677674865369999990e-01,4.142546630000708774e+00,3.148519065780561732e-01,3.827694723422652601e+00,4.457398536578764947e+00
9.974005861520000016e-01,2.884614947473470803e+00,2.216117045560206111e-01,2.663003242917450386e+00,3.106226652029491220e+00
1.303447964020000072e+00,1.532155394360873002e+00,1.140023711879653706e-01,1.418153023172907590e+00,1.646157765548838414e+00
1.789637877389999909e+00,6.409465284233679672e-01,4.896575083515651572e-02,5.919807775882114376e-01,6.899122792585244968e-01
3.517448869679999923e+00,7.216458188842540811e-02,5.390296932870222192e-03,6.677428495555517984e-02,7.755487882129563637e-02
